Timestamp,Sample,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z
0,0,-0.019592,0.060364,-1.000427,0.022888,0.091553,0.068665
1250,1,-0.018372,0.059814,-0.997559,0.122070,0.076294,-0.038147
2500,2,-0.015442,0.060974,-1.001526,0.038147,0.144958,-0.099182
3750,3,-0.016846,0.056274,-1.000732,-0.045776,0.022888,0.000000
5000,4,-0.018188,0.059021,-0.998962,-0.038147,0.083923,-0.053406
6250,5,-0.018494,0.058044,-0.999512,-0.091553,0.328064,0.167847
7500,6,-0.018799,0.057373,-1.000305,0.144958,0.198364,0.160217
8750,7,-0.019470,0.058594,-0.993408,0.251770,0.205994,-0.099182
10000,8,-0.017517,0.062256,-0.997131,-0.007629,0.205994,0.015259
11250,9,-0.015015,0.059570,-1.002808,-0.122070,0.236511,-0.038147
12500,10,-0.021790,0.060425,-1.000854,0.061035,0.114441,-0.099182
13750,11,-0.018188,0.059326,-0.998352,0.000000,0.267029,0.076294
15000,12,-0.020630,0.063843,-1.001526,0.076294,0.099182,0.114441
16250,13,-0.017273,0.057678,-0.997314,-0.160217,0.076294,0.259399
17500,14,-0.018616,0.058655,-1.000000,0.022888,0.167847,0.007629
18750,15,-0.021301,0.059021,-0.999268,0.007629,0.259399,-0.198364
20000,16,-0.015869,0.061462,-0.997070,0.175476,0.236511,-0.137329
21250,17,-0.016479,0.061096,-1.000854,0.038147,0.015259,-0.160217
22500,18,-0.018433,0.058716,-1.000122,0.038147,-0.045776,0.152588
23750,19,-0.017395,0.059814,-0.999329,0.045776,0.122070,0.160217
25000,20,-0.017883,0.064819,-0.997253,0.122070,0.167847,0.083923
26250,21,-0.017822,0.057739,-0.996643,0.167847,0.175476,-0.053406
27500,22,-0.016724,0.058167,-0.997314,-0.045776,0.053406,0.083923
28750,23,-0.018677,0.059998,-0.998108,0.251770,0.144958,0.007629
30000,24,-0.017517,0.057129,-0.994202,0.122070,0.251770,-0.251770
31250,25,-0.018372,0.058655,-0.996765,0.152588,0.167847,-0.007629
32500,26,-0.016846,0.060303,-0.999512,0.045776,0.160217,0.053406
33750,27,-0.016785,0.058411,-1.002197,-0.007629,0.030518,0.099182
35000,28,-0.016052,0.059143,-1.001831,0.091553,0.251770,0.251770
36250,29,-0.013672,0.058105,-1.001709,0.083923,0.335693,0.038147
37500,30,-0.018799,0.058105,-0.996887,0.175476,0.305176,0.061035
38750,31,-0.018860,0.062012,-1.002258,0.129700,0.267029,0.144958
40000,32,-0.013611,0.060913,-0.997314,0.205994,0.083923,0.160217
41250,33,-0.017212,0.059265,-0.999634,0.068665,0.129700,0.183105
42500,34,-0.016602,0.062744,-1.000061,0.076294,0.053406,0.099182
43750,35,-0.015991,0.058655,-0.999084,0.106812,0.061035,0.099182
45000,36,-0.018127,0.061096,-0.997498,0.183105,0.083923,0.045776
46250,37,-0.019836,0.060181,-1.005432,-0.038147,0.297546,0.083923
47500,38,-0.018799,0.061401,-1.002258,0.091553,0.228882,0.106812
48750,39,-0.016785,0.059509,-1.000366,-0.022888,0.083923,0.228882
50000,40,-0.015137,0.057861,-1.000244,0.099182,0.038147,0.007629
51250,41,-0.017761,0.060608,-0.999878,0.083923,0.007629,0.167847
52500,42,-0.015686,0.056885,-0.998291,0.030518,0.160217,-0.030518
53750,43,-0.018311,0.060791,-0.999023,0.061035,0.106812,0.022888
55000,44,-0.013367,0.059570,-1.002625,0.137329,0.152588,-0.160217
56250,45,-0.018921,0.061157,-0.999695,0.221252,0.099182,-0.106812
57500,46,-0.016113,0.059875,-1.001404,-0.022888,0.221252,-0.122070
58750,47,-0.017578,0.057739,-0.999939,0.106812,-0.083923,0.053406
60000,48,-0.017639,0.057983,-0.996582,0.007629,-0.007629,-0.061035
61250,49,-0.020081,0.059387,-1.000244,-0.022888,0.213623,0.114441
62500,50,-0.013123,0.062195,-1.000183,0.152588,0.228882,0.000000
63750,51,-0.015503,0.056885,-1.000061,0.190735,0.244141,0.106812
65000,52,-0.017029,0.059998,-1.000732,0.091553,0.137329,-0.022888
66250,53,-0.017639,0.064148,-0.999451,0.053406,0.137329,-0.030518
67500,54,-0.015808,0.056702,-0.999756,0.053406,0.160217,-0.205994
68750,55,-0.017700,0.063354,-1.000977,0.015259,0.190735,0.129700
70000,56,-0.016418,0.059998,-0.997437,0.030518,0.228882,0.083923
71250,57,-0.014343,0.059875,-1.000000,0.000000,0.083923,-0.053406
72500,58,-0.017090,0.059387,-0.999207,-0.045776,0.312805,0.015259
73750,59,-0.019531,0.057922,-1.002441,0.106812,0.076294,0.122070
75000,60,-0.013611,0.061340,-0.999695,0.053406,0.152588,0.038147
