Timestamp,Sample,REG_6D,TIA1-3_RAW,TIA1-3_VALUE,TIA1-5_RAW,TIA1-5_VALUE,TIA1-8_RAW,TIA1-8_VALUE,TIA1-10_RAW,TIA1-10_VALUE
0.000000,0,0x00001F,951094,0.544220,1241949,0.710649,950163,0.543688,468131,0.267867
390.625000,1,0x00001F,950814,0.544060,1242078,0.710723,950303,0.543768,468386,0.268013
781.250000,2,0x00001F,950719,0.544006,1242031,0.710696,949890,0.543531,467934,0.267754
1171.875000,3,0x00001F,950957,0.544142,1242104,0.710738,949666,0.543403,468302,0.267965
1562.500000,4,0x00001F,950893,0.544105,1242258,0.710826,949813,0.543487,468065,0.267829
1953.125000,5,0x00001F,950731,0.544013,1242261,0.710827,949971,0.543578,468103,0.267851
2343.750000,6,0x00001F,951024,0.544180,1242188,0.710786,949845,0.543506,468132,0.267867
2734.375000,7,0x00001F,950663,0.543974,1242099,0.710735,950097,0.543650,468280,0.267952
3125.000000,8,0x00001F,951002,0.544168,1242144,0.710761,949730,0.543440,468184,0.267897
3515.625000,9,0x00001F,950626,0.543953,1242044,0.710703,950060,0.543629,468348,0.267991
3906.250000,10,0x00001F,950875,0.544095,1242313,0.710857,949921,0.543549,468144,0.267874
4296.875000,11,0x00001F,950856,0.544084,1242146,0.710762,950122,0.543664,468156,0.267881
4687.500000,12,0x00001F,950674,0.543980,1241893,0.710617,949804,0.543482,468069,0.267831
5078.125000,13,0x00001F,950968,0.544148,1242185,0.710784,949836,0.543501,468139,0.267871
5468.750000,14,0x00001F,950754,0.544026,1241854,0.710595,950007,0.543598,468270,0.267946
5859.375000,15,0x00001F,950931,0.544127,1242151,0.710765,949978,0.543582,468233,0.267925
6250.000000,16,0x00001F,950812,0.544059,1242060,0.710712,949684,0.543414,467841,0.267701
6640.625000,17,0x00001F,950982,0.544156,1241921,0.710633,950046,0.543621,468148,0.267876
7031.250000,18,0x00001F,951009,0.544172,1242062,0.710714,950018,0.543605,468251,0.267935
7421.875000,19,0x00001F,950776,0.544038,1242291,0.710845,949922,0.543550,468148,0.267876
7812.500000,20,0x00001F,950995,0.544164,1241957,0.710654,949964,0.543574,468427,0.268036
8203.125000,21,0x00001F,950725,0.544009,1242032,0.710696,949975,0.543580,468317,0.267973
8593.750000,22,0x00001F,950852,0.544082,1242174,0.710778,950178,0.543696,467897,0.267733
8984.375000,23,0x00001F,951002,0.544168,1242217,0.710802,950109,0.543657,468447,0.268048
9375.000000,24,0x00001F,951118,0.544234,1242129,0.710752,950032,0.543613,468320,0.267975
9765.625000,25,0x00001F,951037,0.544188,1242108,0.710740,950020,0.543606,468212,0.267913
10156.250000,26,0x00001F,950913,0.544117,1241959,0.710655,950143,0.543676,468247,0.267933
10546.875000,27,0x00001F,951185,0.544272,1242148,0.710763,949912,0.543544,468296,0.267961
10937.500000,28,0x00001F,951017,0.544176,1241750,0.710535,950084,0.543642,468174,0.267891
11328.125000,29,0x00001F,951149,0.544252,1242385,0.710898,949816,0.543489,468261,0.267941
11718.750000,30,0x00001F,950746,0.544021,1242052,0.710708,949873,0.543522,468308,0.267968
12109.375000,31,0x00001F,951049,0.544195,1241939,0.710643,949749,0.543451,468412,0.268028
12500.000000,32,0x00001F,950993,0.544163,1241870,0.710604,949834,0.543499,468202,0.267907
12890.625000,33,0x00001F,950995,0.544164,1242211,0.710799,949879,0.543525,468185,0.267898
13281.250000,34,0x00001F,950928,0.544125,1242115,0.710744,949994,0.543591,468167,0.267887
13671.875000,35,0x00001F,950769,0.544034,1242204,0.710795,950308,0.543771,468042,0.267816
14062.500000,36,0x00001F,950784,0.544043,1242095,0.710732,950016,0.543604,468386,0.268013
14453.125000,37,0x00001F,950894,0.544106,1241983,0.710668,949895,0.543534,468155,0.267880
14843.750000,38,0x00001F,951018,0.544177,1242133,0.710754,950122,0.543664,467935,0.267755
15234.375000,39,0x00001F,950884,0.544100,1241938,0.710643,950120,0.543663,468116,0.267858
15625.000000,40,0x00001F,951020,0.544178,1242109,0.710741,949998,0.543593,468051,0.267821
16015.625000,41,0x00001F,950732,0.544013,1242124,0.710749,949878,0.543525,468208,0.267911
16406.250000,42,0x00001F,951194,0.544278,1242091,0.710730,950231,0.543727,468284,0.267954
16796.875000,43,0x00001F,950837,0.544073,1242238,0.710814,949754,0.543454,468104,0.267851
17187.500000,44,0x00001F,951070,0.544207,1241804,0.710566,950045,0.543620,468062,0.267827
17578.125000,45,0x00001F,950964,0.544146,1242094,0.710732,950085,0.543643,468137,0.267870
17968.750000,46,0x00001F,951046,0.544193,1242272,0.710834,950283,0.543756,468278,0.267951
18359.375000,47,0x00001F,951007,0.544171,1242336,0.710870,950107,0.543656,467836,0.267698
18750.000000,48,0x00001F,951080,0.544212,1241766,0.710544,949985,0.543586,468170,0.267889
19140.625000,49,0x00001F,950632,0.543956,1242034,0.710698,949809,0.543485,468221,0.267918
19531.250000,50,0x00001F,950645,0.543963,1241972,0.710662,950041,0.543618,468131,0.267867
19921.875000,51,0x00001F,951066,0.544204,1242000,0.710678,950050,0.543623,468070,0.267832
20312.500000,52,0x00001F,950979,0.544155,1242211,0.710799,949599,0.543365,468453,0.268051
20703.125000,53,0x00001F,950968,0.544148,1242005,0.710681,950285,0.543757,468267,0.267945
21093.750000,54,0x00001F,951062,0.544202,1242205,0.710795,950068,0.543633,468226,0.267921
21484.375000,55,0x00001F,951033,0.544185,1242315,0.710858,950020,0.543606,468274,0.267949
21875.000000,56,0x00001F,950807,0.544056,1242131,0.710753,949985,0.543586,468047,0.267819
22265.625000,57,0x00001F,950959,0.544143,1242179,0.710781,949801,0.543481,468464,0.268057
22656.250000,58,0x00001F,950974,0.544152,1242044,0.710703,950038,0.543616,468029,0.267808
23046.875000,59,0x00001F,950642,0.543962,1242114,0.710743,950264,0.543745,468368,0.268002
23437.500000,60,0x00001F,951069,0.544206,1241901,0.710621,950060,0.543629,468379,0.268009
23828.125000,61,0x00001F,951016,0.544176,1242164,0.710772,949994,0.543591,468179,0.267894
24218.750000,62,0x00001F,951008,0.544171,1242116,0.710745,949860,0.543514,468490,0.268072
24609.375000,63,0x00001F,950888,0.544102,1241860,0.710598,950083,0.543642,467867,0.267716
25000.000000,64,0x00001F,950732,0.544013,1242165,0.710773,949704,0.543425,468292,0.267959
25390.625000,65,0x00001F,950642,0.543962,1242020,0.710690,950098,0.543650,468110,0.267855
25781.250000,66,0x00001F,950802,0.544053,1242169,0.710775,949844,0.543505,468285,0.267955
26171.875000,67,0x00001F,950633,0.543957,1241970,0.710661,949604,0.543368,468252,0.267936
26562.500000,68,0x00001F,951090,0.544218,1242095,0.710732,949960,0.543571,468152,0.267879
26953.125000,69,0x00001F,951016,0.544176,1242269,0.710832,949843,0.543505,468182,0.267896
27343.750000,70,0x00001F,950830,0.544069,1242272,0.710834,949890,0.543531,468326,0.267978
27734.375000,71,0x00001F,951061,0.544201,1242215,0.710801,949982,0.543584,468560,0.268112
28125.000000,72,0x00001F,950784,0.544043,1241950,0.710649,949769,0.543462,467862,0.267713
28515.625000,73,0x00001F,950987,0.544159,1242036,0.710699,949764,0.543459,468117,0.267859
28906.250000,74,0x00001F,950864,0.544089,1241934,0.710640,949771,0.543463,467976,0.267778
29296.875000,75,0x00001F,951235,0.544301,1242087,0.710728,949860,0.543514,467924,0.267748
29687.500000,76,0x00001F,950925,0.544124,1241884,0.710612,949833,0.543499,468331,0.267981
30078.125000,77,0x00001F,950583,0.543928,1242029,0.710695,949764,0.543459,467904,0.267737
30468.750000,78,0x00001F,950695,0.543992,1242035,0.710698,949809,0.543485,467767,0.267658
30859.375000,79,0x00001F,950684,0.543986,1242235,0.710813,950104,0.543654,468302,0.267965
31250.000000,80,0x00001F,951153,0.544254,1241975,0.710664,949984,0.543585,468314,0.267971
31640.625000,81,0x00001F,950944,0.544135,1242206,0.710796,949734,0.543442,468132,0.267867
32031.250000,82,0x00001F,951014,0.544175,1242186,0.710785,949842,0.543504,468107,0.267853
32421.875000,83,0x00001F,951040,0.544189,1242163,0.710771,949747,0.543450,468079,0.267837
32812.500000,84,0x00001F,951031,0.544184,1242005,0.710681,949732,0.543441,468382,0.268010
33203.125000,85,0x00001F,951040,0.544189,1241937,0.710642,950104,0.543654,468315,0.267972
33593.750000,86,0x00001F,950889,0.544103,1241985,0.710670,949869,0.543519,468013,0.267799
33984.375000,87,0x00001F,950826,0.544067,1241976,0.710664,949713,0.543430,468050,0.267820
34375.000000,88,0x00001F,950696,0.543993,1241781,0.710553,949945,0.543563,468098,0.267848
34765.625000,89,0x00001F,950694,0.543992,1241979,0.710666,949865,0.543517,468174,0.267891
35156.250000,90,0x00001F,950913,0.544117,1241980,0.710667,950027,0.543610,468208,0.267911
35546.875000,91,0x00001F,951037,0.544188,1241853,0.710594,950011,0.543601,468231,0.267924
35937.500000,92,0x00001F,950876,0.544096,1242117,0.710745,949776,0.543466,467975,0.267777
36328.125000,93,0x00001F,950892,0.544105,1242073,0.710720,949905,0.543540,468095,0.267846
36718.750000,94,0x00001F,950899,0.544109,1242212,0.710799,950001,0.543595,468095,0.267846
37109.375000,95,0x00001F,950751,0.544024,1242237,0.710814,949692,0.543418,468476,0.268064
37500.000000,96,0x00001F,950560,0.543915,1241983,0.710668,950102,0.543653,468553,0.268108
37890.625000,97,0x00001F,950805,0.544055,1241975,0.710664,949555,0.543340,468115,0.267858
38281.250000,98,0x00001F,950672,0.543979,1242010,0.710684,950198,0.543708,468155,0.267880
38671.875000,99,0x00001F,951015,0.544175,1242295,0.710847,950013,0.543602,468332,0.267982
39062.500000,100,0x00001F,950798,0.544051,1242455,0.710938,949702,0.543424,468130,0.267866
39453.125000,101,0x00001F,951083,0.544214,1242009,0.710683,950028,0.543610,468231,0.267924
39843.750000,102,0x00001F,951043,0.544191,1241936,0.710642,949913,0.543545,468504,0.268080
40234.375000,103,0x00001F,950760,0.544029,1241945,0.710647,949820,0.543491,468150,0.267878
40625.000000,104,0x00001F,950874,0.544095,1241922,0.710634,949788,0.543473,468431,0.268038
41015.625000,105,0x00001F,950815,0.544061,1241877,0.710608,949887,0.543530,468112,0.267856
41406.250000,106,0x00001F,950730,0.544012,1241961,0.710656,949735,0.543443,468401,0.268021
41796.875000,107,0x00001F,950951,0.544139,1242226,0.710807,949944,0.543562,468580,0.268124
42187.500000,108,0x00001F,951076,0.544210,1242057,0.710711,949996,0.543592,468278,0.267951
42578.125000,109,0x00001F,950894,0.544106,1242070,0.710718,949784,0.543471,468194,0.267903
42968.750000,110,0x00001F,950783,0.544042,1242012,0.710685,950028,0.543610,468302,0.267965
43359.375000,111,0x00001F,951017,0.544176,1242109,0.710741,949984,0.543585,468196,0.267904
43750.000000,112,0x00001F,950745,0.544021,1242047,0.710705,950061,0.543629,468419,0.268032
44140.625000,113,0x00001F,950794,0.544049,1242299,0.710849,949690,0.543417,468478,0.268065
44531.250000,114,0x00001F,950876,0.544096,1241880,0.710609,949825,0.543494,468244,0.267931
44921.875000,115,0x00001F,950998,0.544165,1242288,0.710843,949871,0.543521,468099,0.267848
45312.500000,116,0x00001F,950691,0.543990,1241833,0.710583,949739,0.543445,468231,0.267924
45703.125000,117,0x00001F,950713,0.544002,1242188,0.710786,950014,0.543602,468170,0.267889
46093.750000,118,0x00001F,951057,0.544199,1242182,0.710782,950024,0.543608,468274,0.267949
46484.375000,119,0x00001F,950801,0.544053,1241980,0.710667,949801,0.543481,468105,0.267852
46875.000000,120,0x00001F,951014,0.544175,1241835,0.710584,949791,0.543475,468103,0.267851
47265.625000,121,0x00001F,950751,0.544024,1242212,0.710799,949607,0.543370,468247,0.267933
47656.250000,122,0x00001F,951073,0.544208,1241917,0.710631,950022,0.543607,468497,0.268076
48046.875000,123,0x00001F,951065,0.544204,1242091,0.710730,949617,0.543375,468396,0.268018
48437.500000,124,0x00001F,951098,0.544223,1242169,0.710775,949840,0.543503,468043,0.267816
48828.125000,125,0x00001F,951137,0.544245,1242135,0.710755,949977,0.543581,468470,0.268061
49218.750000,126,0x00001F,951184,0.544272,1242239,0.710815,950001,0.543595,467983,0.267782
49609.375000,127,0x00001F,950708,0.543999,1241950,0.710649,949910,0.543543,468259,0.267940
50000.000000,128,0x00001F,951035,0.544187,1241977,0.710665,949899,0.543537,467969,0.267774
50390.625000,129,0x00001F,950748,0.544022,1242138,0.710757,950194,0.543705,468269,0.267946
50781.250000,130,0x00001F,950797,0.544050,1241937,0.710642,949934,0.543557,468199,0.267906
51171.875000,131,0x00001F,950873,0.544094,1241941,0.710644,950033,0.543613,468324,0.267977
51562.500000,132,0x00001F,950748,0.544022,1242297,0.710848,949797,0.543478,468275,0.267949
51953.125000,133,0x00001F,950939,0.544132,1242300,0.710850,949866,0.543518,468350,0.267992
52343.750000,134,0x00001F,950855,0.544084,1241996,0.710676,950022,0.543607,468368,0.268002
52734.375000,135,0x00001F,951038,0.544188,1242341,0.710873,949613,0.543373,468275,0.267949
53125.000000,136,0x00001F,950998,0.544165,1242088,0.710728,949953,0.543567,468289,0.267957
53515.625000,137,0x00001F,950716,0.544004,1241862,0.710599,949964,0.543574,468147,0.267876
53906.250000,138,0x00001F,951142,0.544248,1242049,0.710706,949762,0.543458,468133,0.267868
54296.875000,139,0x00001F,950915,0.544118,1242045,0.710704,949972,0.543578,468135,0.267869
54687.500000,140,0x00001F,950786,0.544044,1242185,0.710784,949708,0.543427,468168,0.267888
55078.125000,141,0x00001F,951103,0.544226,1242009,0.710683,949964,0.543574,468267,0.267945
55468.750000,142,0x00001F,951085,0.544215,1242271,0.710833,950031,0.543612,468051,0.267821
55859.375000,143,0x00001F,950614,0.543946,1241958,0.710654,950046,0.543621,468139,0.267871
56250.000000,144,0x00001F,950945,0.544135,1242053,0.710708,949762,0.543458,468195,0.267903
56640.625000,145,0x00001F,950769,0.544034,1242194,0.710789,949885,0.543529,468200,0.267906
57031.250000,146,0x00001F,950810,0.544058,1241856,0.710596,949881,0.543526,468434,0.268040
57421.875000,147,0x00001F,950502,0.543882,1241773,0.710548,949984,0.543585,468199,0.267906
57812.500000,148,0x00001F,950758,0.544028,1242203,0.710794,949912,0.543544,468451,0.268050
58203.125000,149,0x00001F,950760,0.544029,1242074,0.710720,949925,0.543551,468033,0.267811
58593.750000,150,0x00001F,951143,0.544248,1241988,0.710671,950152,0.543681,468394,0.268017
58984.375000,151,0x00001F,951055,0.544198,1242000,0.710678,950074,0.543637,468243,0.267931
59375.000000,152,0x00001F,951029,0.544183,1242062,0.710714,949970,0.543577,468408,0.268025
59765.625000,153,0x00001F,950953,0.544140,1242161,0.710770,949877,0.543524,468227,0.267922
60156.250000,154,0x00001F,950756,0.544027,1242035,0.710698,949947,0.543564,468108,0.267854
60546.875000,155,0x00001F,950938,0.544131,1241857,0.710596,949857,0.543513,468317,0.267973
60937.500000,156,0x00001F,951094,0.544220,1241917,0.710631,950213,0.543716,468163,0.267885
61328.125000,157,0x00001F,950702,0.543996,1242272,0.710834,949917,0.543547,467951,0.267764
61718.750000,158,0x00001F,950821,0.544064,1242107,0.710739,949985,0.543586,468038,0.267814
62109.375000,159,0x00001F,950906,0.544113,1241820,0.710575,950059,0.543628,468150,0.267878
62500.000000,160,0x00001F,951009,0.544172,1241996,0.710676,950053,0.543625,468184,0.267897
62890.625000,161,0x00001F,950784,0.544043,1242340,0.710873,950003,0.543596,468210,0.267912
63281.250000,162,0x00001F,950929,0.544126,1242129,0.710752,949816,0.543489,468411,0.268027
63671.875000,163,0x00001F,950765,0.544032,1242126,0.710750,949719,0.543434,468222,0.267919
64062.500000,164,0x00001F,950869,0.544092,1242093,0.710731,949834,0.543499,468120,0.267860
64453.125000,165,0x00001F,950916,0.544119,1242115,0.710744,950010,0.543600,468340,0.267986
64843.750000,166,0x00001F,950919,0.544120,1241843,0.710588,949709,0.543428,468175,0.267892
65234.375000,167,0x00001F,950951,0.544139,1241993,0.710674,949819,0.543491,468270,0.267946
65625.000000,168,0x00001F,950952,0.544139,1242077,0.710722,949844,0.543505,468243,0.267931
66015.625000,169,0x00001F,950870,0.544092,1242361,0.710885,949833,0.543499,468061,0.267827
66406.250000,170,0x00001F,950700,0.543995,1242112,0.710742,949763,0.543459,468427,0.268036
66796.875000,171,0x00001F,950832,0.544070,1241871,0.710604,949856,0.543512,468421,0.268033
67187.500000,172,0x00001F,951167,0.544262,1241966,0.710659,950343,0.543791,468146,0.267875
67578.125000,173,0x00001F,950813,0.544060,1242134,0.710755,949844,0.543505,468357,0.267996
67968.750000,174,0x00001F,951105,0.544227,1242072,0.710719,950006,0.543598,468325,0.267978
68359.375000,175,0x00001F,951083,0.544214,1242176,0.710779,950012,0.543601,468182,0.267896
68750.000000,176,0x00001F,951181,0.544270,1242002,0.710679,950010,0.543600,468293,0.267959
69140.625000,177,0x00001F,950676,0.543981,1242039,0.710700,949748,0.543450,468092,0.267844
69531.250000,178,0x00001F,950911,0.544116,1242075,0.710721,950176,0.543695,468284,0.267954
69921.875000,179,0x00001F,950841,0.544076,1241917,0.710631,949764,0.543459,468273,0.267948
70312.500000,180,0x00001F,950926,0.544124,1242117,0.710745,949787,0.543473,468261,0.267941
70703.125000,181,0x00001F,950779,0.544040,1242332,0.710868,949923,0.543550,468091,0.267844
71093.750000,182,0x00001F,950800,0.544052,1241900,0.710621,949869,0.543519,467989,0.267785
71484.375000,183,0x00001F,950989,0.544160,1241821,0.710576,949984,0.543585,468275,0.267949
71875.000000,184,0x00001F,951043,0.544191,1242238,0.710814,949859,0.543514,468477,0.268065
72265.625000,185,0x00001F,950834,0.544072,1241988,0.710671,949688,0.543416,468189,0.267900
72656.250000,186,0x00001F,950876,0.544096,1241898,0.710620,949710,0.543428,468199,0.267906
73046.875000,187,0x00001F,950828,0.544068,1241809,0.710569,949925,0.543551,468185,0.267898
73437.500000,188,0x00001F,950885,0.544101,1241815,0.710572,949859,0.543514,468419,0.268032
73828.125000,189,0x00001F,951073,0.544208,1241989,0.710672,950067,0.543633,467984,0.267783
74218.750000,190,0x00001F,950671,0.543978,1242008,0.710683,949819,0.543491,468013,0.267799
74609.375000,191,0x00001F,950970,0.544149,1242361,0.710885,949918,0.543547,467981,0.267781
75000.000000,192,0x00001F,950950,0.544138,1242265,0.710830,950056,0.543626,468283,0.267954
75390.625000,193,0x00001F,950808,0.544057,1241969,0.710660,950111,0.543658,468369,0.268003
75781.250000,194,0x00001F,950737,0.544016,1241889,0.710615,950161,0.543687,468305,0.267966
76171.875000,195,0x00001F,950754,0.544026,1241687,0.710499,949826,0.543495,468133,0.267868
76562.500000,196,0x00001F,950501,0.543881,1242331,0.710868,949889,0.543531,468115,0.267858
76953.125000,197,0x00001F,950865,0.544089,1242041,0.710702,949918,0.543547,468213,0.267914
77343.750000,198,0x00001F,950941,0.544133,1242158,0.710769,949811,0.543486,468425,0.268035
77734.375000,199,0x00001F,950736,0.544016,1242210,0.710798,949909,0.543542,468199,0.267906
78125.000000,200,0x00001F,950883,0.544100,1242254,0.710823,949920,0.543549,468135,0.267869
78515.625000,201,0x00001F,950907,0.544113,1241872,0.710605,949797,0.543478,468282,0.267953
78906.250000,202,0x00001F,950958,0.544143,1242054,0.710709,949924,0.543551,468503,0.268080
79296.875000,203,0x00001F,950742,0.544019,1242097,0.710734,950086,0.543644,468207,0.267910
79687.500000,204,0x00001F,950813,0.544060,1241676,0.710493,950214,0.543717,468274,0.267949
80078.125000,205,0x00001F,951205,0.544284,1242148,0.710763,950150,0.543680,468273,0.267948
80468.750000,206,0x00001F,950862,0.544088,1242140,0.710758,950206,0.543712,468173,0.267891
80859.375000,207,0x00001F,951044,0.544192,1242002,0.710679,949870,0.543520,468091,0.267844
81250.000000,208,0x00001F,950890,0.544104,1242040,0.710701,949941,0.543561,468212,0.267913
81640.625000,209,0x00001F,950585,0.543929,1242268,0.710831,949758,0.543456,468392,0.268016
82031.250000,210,0x00001F,950698,0.543994,1242008,0.710683,949866,0.543518,468057,0.267824
82421.875000,211,0x00001F,950870,0.544092,1242142,0.710759,949957,0.543570,467693,0.267616
82812.500000,212,0x00001F,950654,0.543969,1241943,0.710645,949831,0.543498,468085,0.267840
83203.125000,213,0x00001F,950961,0.544144,1242073,0.710720,949781,0.543469,468072,0.267833
83593.750000,214,0x00001F,951101,0.544224,1241719,0.710517,949727,0.543438,468299,0.267963
83984.375000,215,0x00001F,950768,0.544034,1242034,0.710698,949892,0.543533,468374,0.268006
